Word,PonderadoApilado,Similares
distrito,4.22,"['distrito del', 'distrito de lurigancho-chosica']"
libro,4.180000000000001,"['feria del libro de guadalajara', 'pero el corazón del libro']"
colombia,4.17,"['james colombia', 'colombia rueda']"
forma,4.1499999999999995,['formas']
estadio,4.13,"['estadio universitario', 'estadio\xa0  field']"
poder judicial,4.1,"['centro poder judicial', 'judicial', 'poder judicial el ministerio público']"
ciudad,4.08,"['terrazas ciudad de miraflores', 'ciudad imperial']"
lionel messi,4.069999999999999,"['messi', 'lionel messi  tirado']"
asamblea constituyente,4.05,['asamblea']
ee,4.04,"['ee uu', 'ee uu científicos', 'tesoro de ee uu']"
constitución,4.03,"['constitución lea', 'constitución política', 'por eso la nueva constitución', 'constitución sin']"
actor,4.0200000000000005,['factor']
carrera,4.02,['carreras']
fuerza,3.96,"['fuerza popular', 'eduardo castillo fuerza popular']"
público,3.91,['ministerio público']
europa,3.9,['solo europa']
martes,3.9,['marte']
cámara,3.9,"['cámara de diputado', 'cámara de comercio', 'sala de la cámara de diputados']"
línea,3.83,"['la línea jerárquica revela', 'línea- ipsos']"
serie,3.82,['la academia serie de eeg']
cifra,3.8099999999999996,['cifras']
gisela valcárcel,3.8,['gisela']
pleno,3.79,['pleno del']
estación,3.77,['gestación']
secretario,3.77,['secretario de']
club,3.75,"['la gente del club', 'el club siempre me']"
estudiante,3.75,['yo era estudiante en']
españa,3.7,['canarias españa']
víctima,3.6799999999999997,['la tercera víctima']
promoción,3.6700000000000004,"['promoción del bienestar y reconocimiento docente', 'el ministerio de trabajo y promoción del empleo', 'trabajo y promoción del empleo']"
junín,3.6300000000000003,"['gore junín el', 'áncash junín']"
carrasco,3.62,"['juan carrasco', 'gabriel carrasco']"
show,3.6100000000000003,"['reinas del show” bailarín', 'el gran show', 'reinas del show']"
juego,3.6100000000000003,"['juegos', 'el juego del calamar']"
plataforma,3.61,"['plataforma zoom', 'la plataforma de videos']"
reporte,3.61,['report']
pga seguro rápido,3.59,['seguro']
triunfo,3.58,['villa maría del triunfo']
negocio,3.57,['negocios']
lucha,3.56,['fuerza especial de lucha contra el crimen']
educación,3.56,['ministerio de educación']
fútbol,3.5500000000000003,['liga femenina de fútbol']
exmandatario,3.54,['mandatario']
integrante,3.54,['exintegrante']
universidad de berna,3.54,['universidad']
voz,3.5300000000000002,['la voz senior']
huancayo,3.52,['automóvil club huancayo']
territorio,3.52,['territorios']
delta,3.5199999999999996,['whatsapp delta 2021 cómo']
darwin núñez,3.5,['darwin núñez(x2']
derecho,3.5,['derechos']
edad,3.48,['edad de hierro']
reconciliación,3.46,['conciliación']
bus,3.45,['bus de los chinos']
sur,3.4499999999999997,"['cruz del sur', 'la reina del sur', 'universidad científica del sur', 'ocho sur', 'exposición internacional de inventos de mujeres de corea del sur', 'corea del sur']"
britney spears,3.42,['britney spears tribunal']
magaly medina,3.42,"['magaly', 'magaly medinano']"
director,3.4000000000000004,['directo']
denuncia,3.4,['denuncian']
república centroafricana,3.39,['república']
mañana,3.3899999999999997,['noticias mañana']
regla,3.38,['regalía']
río,3.37,"['del río', 'río llallimayo', 'río shirarini', 'río negro']"
oea,3.37,['consejo permanente de la oea']
terrorismo,3.36,['terrorismo-']
alianza,3.36,"['alianza para el progreso', 'alianza atlético alianza atlético']"
energía,3.36,['energía  no']
hernán barcos,3.3499999999999996,"['barcos', 'caballeros hernán barcos']"
producción,3.3499999999999996,"['ministerio de la producción', 'reproducción']"
metro,3.31,['metros']
koeman,3.29,['ronald koeman']
senado,3.24,"['senador', 'senado de la república todos']"
nación,3.23,"['nación wampís', 'la nación']"
alemania,3.23,['alemania berlín']
chiclayo,3.22,"['ugel chiclayo', 'chiclayo lambayeque']"
puno,3.22,"['puno de', 'la dirección general de admisión de la una puno']"
venta,3.1799999999999997,['fujimori por venta de']
cercado,3.15,"['ruta miraflores-cercado', 'miraflores-cercado']"
sistema,3.15,"['sistema de emisión electrónica de la guía de remisión electrónica para bienes fiscalizados', 'sistema nacional de evaluación acreditación', 'sistema de administración tributario']"
minería,3.14,['minera']
arma,3.09,['comité de las fuerzas arma']
bayern múnich,3.08,"['bayern', 'goleada bayern múnich']"
producto,3.08,['productor']
nicolás maduro,3.07,['maduro']
premio,3.07,"['premio nobel alternativo', 'premio n']"
iphone 13,3.07,"['iphone', '13']"
ministerio del interior,3.06,"['vivo ministerio del interior', 'ministerio', 'interior']"
beneficio,3.0300000000000002,['beneficiado']
comunicaciones,3.02,"['gerencia regional de transportes y comunicaciones', 'transportes y comunicaciones', 'ministerio de transportes y comunicaciones', 'comunicaciones juan silva']"
reniec,3.0,['vivo reniec']
los ángeles,2.98,"['ángeles', 'el condado los ángeles']"
isla,2.98,"['isla de taquile', 'isla de wight']"
rafa silva,2.95,['silva']
chelsea,2.9400000000000004,['chelsea video']
rebagliati,2.94,['diego rebagliati']
decena,2.93,['decenas']
zenit,2.9299999999999997,['zenit de san petersburgo']
parlamento,2.92,"['parlamento alemán', 'consejo directivo del parlamento']"
pensión,2.9099999999999997,['juntos pensión']
pérdida,2.9,"['día internacional de concientización sobre pérdida y desperdicio de alimentos', 'día internacional de concienciación sobre la pérdida y el desperdicio de alimentos']"
cumbre,2.88,['cumbre vieja']
aldo corzo,2.87,['corzo']
yotún,2.87,"['yoshimar yotún video', 'yoshimar yotún']"
emisión,2.8600000000000003,['misión']
independencia,2.8400000000000003,"['bicentenario de la independencia', 'independencia asaltan']"
capacidad,2.84,['incapacidad']
silvana carrión,2.84,"['carrión', 'odebrecht silvana carrión']"
tommy portugal,2.83,['portugal']
desarrollo,2.83,['ministerio de desarrollo e inclusión social']
penal,2.81,"['penal ancón', 'juzgado penal unipersonal de canchis', 'juzgado penal unipersonal']"
rímac,2.8,"['vivo vecinos del rímac', 'vecinos del rímac']"
duelo,2.79,['duelo de gigantes']
informa,2.79,['y a ti cómo te gusta el café  informa']
diferencia,2.77,['diferencias']
normas legales,2.76,['legales']
melissa klug,2.7300000000000004,['melissa klug video']
reinas,2.73,['reina']
rico,2.7199999999999998,"['guerreros puerto rico', 'puerto rico']"
fondo,2.71,['fondo del embajador']
registro,2.69,"['registro alemán de autopsias', 'registro de hidrocarburos', 'registro nacional de identificación', 'registro de organizaciones políticas']"
editorial intenciones,2.68,['editorial']
dania calderón,2.6799999999999997,['dania calderón garcía']
lapadula,2.67,['gianluca lapadula']
harold forsyth,2.65,['forsyth']
referéndum,2.65,"['referéndum inconstitucional lea', 'los promotores del referéndum']"
m,2.65,"['m&ampa', 'má']"
pfizer,2.63,['pfizer lea']
gente,2.63,['agente']
unidad,2.63,['unidad de banca individual de financiera confianza']
camino,2.63,['camión']
enfrentamiento,2.62,['el enfrentamiento']
reportaje,2.6199999999999997,['a nuestro reportaje multimedia']
brevet,2.61,['breve']
corea del norte,2.5700000000000003,['norte']
efe,2.56,"['agencia efe', 'foto efe']"
torneo,2.56,['torno']
respeto,2.5599999999999996,"[""balán' gonzales respeto""]"
combustible,2.55,['federación sindical de la administración nacional de combustible']
resolución,2.53,['resolución de superintendencia n']
alcalde,2.52,['vivo alcalde muñoz']
suiza,2.52,['universidad de suiza']
cerebro,2.52,['el cerebro infantil']
consorcio,2.51,['consorcio santa rosa']
firma,2.51,['aquí te enseñamos a registrar tu firma']
beneficiario,2.49,"['cómo saber si soy beneficiario', 'beneficiarios']"
conare,2.49,"['conare-sute', 'conare sutep']"
consulta,2.47,['consulta sisfoh']
concurso,2.4699999999999998,['concurso nacional de buenas prácticas docentes conversamos']
