Number of words,9257
Number of unique words,1106
Average word frequency,8.369801
Entropy,6.534286

Word,Frequency,Proportion,Entropy Term
bellido,20,0.002161,0.013260
manotazo,3,0.000324,0.002604
gianluca,7,0.000756,0.005435
christian,10,0.001080,0.007379
carmen,14,0.001512,0.009821
presidenta,4,0.000432,0.003347
calle,10,0.001080,0.007379
aprobación,5,0.000540,0.004064
joe,7,0.000756,0.005435
biden,8,0.000864,0.006096
manejo,4,0.000432,0.003347
retiro,4,0.000432,0.003347
tropa,4,0.000432,0.003347
guatemala,7,0.000756,0.005435
ciudadano,11,0.001188,0.008003
estudiante,11,0.001188,0.008003
martes,9,0.000972,0.006743
arabia,4,0.000432,0.003347
saudita,4,0.000432,0.003347
misil,5,0.000540,0.004064
drón,4,0.000432,0.003347
yemen,4,0.000432,0.003347
secretario,6,0.000648,0.004758
esposo,6,0.000648,0.004758
gemelo,4,0.000432,0.003347
palabra,4,0.000432,0.003347
polémica,4,0.000432,0.003347
zona,10,0.001080,0.007379
corte,9,0.000972,0.006743
servicio,7,0.000756,0.005435
sjl,11,0.001188,0.008003
aniego,8,0.000864,0.006096
tarde,4,0.000432,0.003347
sábado,9,0.000972,0.006743
postulante,5,0.000540,0.004064
tacna,13,0.001404,0.009224
unmsm,10,0.001080,0.007379
policía,20,0.002161,0.013260
presencia,8,0.000864,0.006096
vista,4,0.000432,0.003347
ministerio,22,0.002377,0.014360
opinión,7,0.000756,0.005435
Ángel,3,0.000324,0.002604
importancia,8,0.000864,0.006096
césar,3,0.000324,0.002604
isabel,19,0.002053,0.012702
león,5,0.000540,0.004064
editorial,3,0.000324,0.002604
contraloría,3,0.000324,0.002604
auto,3,0.000324,0.002604
dólares,5,0.000540,0.004064
terrorismo,3,0.000324,0.002604
maraví,13,0.001404,0.009224
rivera,3,0.000324,0.002604
mu,9,0.000972,0.006743
frontera,8,0.000864,0.006096
guido,7,0.000756,0.005435
fernández,4,0.000432,0.003347
horóscopo,10,0.001080,0.007379
predicción,6,0.000648,0.004758
briceño,4,0.000432,0.003347
portada,10,0.001080,0.007379
rojas,6,0.000648,0.004758
fiesta,3,0.000324,0.002604
diálogo,5,0.000540,0.004064
sanidad,3,0.000324,0.002604
vergüenza,3,0.000324,0.002604
salida,4,0.000432,0.003347
tumbes,6,0.000648,0.004758
puente,3,0.000324,0.002604
osinergmin,3,0.000324,0.002604
cobertura,3,0.000324,0.002604
vale,3,0.000324,0.002604
sétima,6,0.000648,0.004758
manchester,3,0.000324,0.002604
costo,3,0.000324,0.002604
bono,12,0.001296,0.008618
sol,11,0.001188,0.008003
subsidio,5,0.000540,0.004064
beneficiario,5,0.000540,0.004064
palacios,7,0.000756,0.005435
gallese,6,0.000648,0.004758
ramos,5,0.000540,0.004064
brecha,7,0.000756,0.005435
autor,3,0.000324,0.002604
feria,3,0.000324,0.002604
lee,20,0.002161,0.013260
exposición,5,0.000540,0.004064
banco,6,0.000648,0.004758
retraso,3,0.000324,0.002604
funcionamiento,4,0.000432,0.003347
etapa,7,0.000756,0.005435
línea,3,0.000324,0.002604
ii,5,0.000540,0.004064
edición,10,0.001080,0.007379
trabajador,5,0.000540,0.004064
reunión,4,0.000432,0.003347
alcalde,4,0.000432,0.003347
amazonas,4,0.000432,0.003347
loreto,7,0.000756,0.005435
postulant,5,0.000540,0.004064
incendio,5,0.000540,0.004064
banda,4,0.000432,0.003347
derecho,8,0.000864,0.006096
política,6,0.000648,0.004758
conductor,4,0.000432,0.003347
siglo,5,0.000540,0.004064
permiso,3,0.000324,0.002604
aforo,4,0.000432,0.003347
nivel,4,0.000432,0.003347
oficial,3,0.000324,0.002604
senior,6,0.000648,0.004758
roberto,5,0.000540,0.004064
hotel,3,0.000324,0.002604
rafael,7,0.000756,0.005435
lópez,13,0.001404,0.009224
aliaga,6,0.000648,0.004758
emisario,6,0.000648,0.004758
bermejo,6,0.000648,0.004758
gabinete,6,0.000648,0.004758
francia,5,0.000540,0.004064
santiago,6,0.000648,0.004758
guillermo,10,0.001080,0.007379
dávila,5,0.000540,0.004064
necesidad,3,0.000324,0.002604
dina,5,0.000540,0.004064
boluarte,5,0.000540,0.004064
activo,4,0.000432,0.003347
sanción,5,0.000540,0.004064
materia,3,0.000324,0.002604
negocio,8,0.000864,0.006096
expresidente,3,0.000324,0.002604
wilson,3,0.000324,0.002604
soto,5,0.000540,0.004064
bancada,5,0.000540,0.004064
movadef,3,0.000324,0.002604
iber,9,0.000972,0.006743
jorge,4,0.000432,0.003347
quechua,4,0.000432,0.003347
linares,3,0.000324,0.002604
camino,3,0.000324,0.002604
violencia,9,0.000972,0.006743
expectativa,3,0.000324,0.002604
mal,3,0.000324,0.002604
magaly,11,0.001188,0.008003
medina,14,0.001512,0.009821
abuela,3,0.000324,0.002604
daño,4,0.000432,0.003347
gabriela,14,0.001512,0.009821
jiménez,3,0.000324,0.002604
vacunatorio,10,0.001080,0.007379
vaca,5,0.000540,0.004064
apoyo,4,0.000432,0.003347
sociedad,5,0.000540,0.004064
laura,3,0.000324,0.002604
ladrón,5,0.000540,0.004064
toque,4,0.000432,0.003347
impacto,3,0.000324,0.002604
world,3,0.000324,0.002604
trade,3,0.000324,0.002604
center,3,0.000324,0.002604
gianella,3,0.000324,0.002604
infarto,4,0.000432,0.003347
operación,5,0.000540,0.004064
causa,5,0.000540,0.004064
danna,3,0.000324,0.002604
paola,3,0.000324,0.002604
pijama,3,0.000324,0.002604
alcohol,3,0.000324,0.002604
gisela,13,0.001404,0.009224
valcárcel,8,0.000864,0.006096
ethel,4,0.000432,0.003347
pozo,4,0.000432,0.003347
expareja,3,0.000324,0.002604
paolo,7,0.000756,0.005435
guerrero,17,0.001836,0.011569
lotería,6,0.000648,0.004758
dueño,4,0.000432,0.003347
boleto,3,0.000324,0.002604
técnico,3,0.000324,0.002604
herrera,10,0.001080,0.007379
diana,5,0.000540,0.004064
sánchez,9,0.000972,0.006743
baigorria,9,0.000972,0.006743
pamela,6,0.000648,0.004758
brenda,5,0.000540,0.004064
carvalho,5,0.000540,0.004064
gala,6,0.000648,0.004758
mario,8,0.000864,0.006096
nicola,4,0.000432,0.003347
porcella,4,0.000432,0.003347
cantante,5,0.000540,0.004064
emilia,3,0.000324,0.002604
drago,3,0.000324,0.002604
rosángela,3,0.000324,0.002604
patricio,3,0.000324,0.002604
parodi,4,0.000432,0.003347
ins,4,0.000432,0.003347
milagro,6,0.000648,0.004758
migraciones,4,0.000432,0.003347
paloma,5,0.000540,0.004064
fiuza,4,0.000432,0.003347
herida,4,0.000432,0.003347
guerreros,12,0.001296,0.008618
eva,6,0.000648,0.004758
ayllón,5,0.000540,0.004064
daniela,4,0.000432,0.003347
darcourt,3,0.000324,0.002604
gana,5,0.000540,0.004064
condena,3,0.000324,0.002604
fraude,4,0.000432,0.003347
descompensación,10,0.001080,0.007379
nervio,3,0.000324,0.002604
enfrentamiento,3,0.000324,0.002604
acevedo,18,0.001944,0.012139
suárez,5,0.000540,0.004064
barrio,3,0.000324,0.002604
actor,11,0.001188,0.008003
cachín,4,0.000432,0.003347
película,3,0.000324,0.002604
asu,4,0.000432,0.003347
mare,4,0.000432,0.003347
carne,3,0.000324,0.002604
reina,23,0.002485,0.014902
razón,6,0.000648,0.004758
chyno,4,0.000432,0.003347
miranda,4,0.000432,0.003347
natasha,6,0.000648,0.004758
araos,6,0.000648,0.004758
angie,4,0.000432,0.003347
jibaja,3,0.000324,0.002604
hijo,12,0.001296,0.008618
arma,8,0.000864,0.006096
fuego,6,0.000648,0.004758
tilsa,5,0.000540,0.004064
versu,3,0.000324,0.002604
bachata,5,0.000540,0.004064
martínez,3,0.000324,0.002604
muerto,8,0.000864,0.006096
tiroteo,8,0.000864,0.006096
flow,3,0.000324,0.002604
escena,4,0.000432,0.003347
malanga,3,0.000324,0.002604
lady,10,0.001080,0.007379
emoción,3,0.000324,0.002604
nombre,8,0.000864,0.006096
machista,3,0.000324,0.002604
cargo,8,0.000864,0.006096
integrante,3,0.000324,0.002604
gabriel,5,0.000540,0.004064
pastor,3,0.000324,0.002604
temporada,7,0.000756,0.005435
giselo,3,0.000324,0.002604
rumor,4,0.000432,0.003347
ampay,3,0.000324,0.002604
am,4,0.000432,0.003347
andrés,4,0.000432,0.003347
web,6,0.000648,0.004758
decisión,9,0.000972,0.006743
mano,4,0.000432,0.003347
árbitro,3,0.000324,0.002604
online,3,0.000324,0.002604
