Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
año coronavirus,3.000000,0.000498,0.003789,1.916908
año persona,5.000000,0.000830,0.005891,1.773807
año dosis,19.000000,0.003156,0.018172,3.842778
año adolescente,4.000000,0.000664,0.004861,3.922242
año comorbilidad,5.000000,0.000830,0.005891,4.705001
año inmunización,4.000000,0.000664,0.004861,3.303203
año domingo,7.000000,0.001163,0.007856,2.556567
año ataque,3.000000,0.000498,0.003789,2.941413
año cáncer,4.000000,0.000664,0.004861,3.160102
año septiembre,3.000000,0.000498,0.003789,2.322373
año semana,6.000000,0.000997,0.006887,2.839630
año poeta,4.000000,0.000664,0.004861,3.565567
año parque,3.000000,0.000498,0.003789,3.788710
año horario,7.000000,0.001163,0.007856,3.942861
año vacunatorio,7.000000,0.001163,0.007856,4.125183
año señal,3.000000,0.000498,0.003789,2.690098
año parra,4.000000,0.000664,0.004861,3.788710
metropolitana lima,6.000000,0.000997,0.006887,4.562677
metropolitana callao,11.000000,0.001827,0.011519,5.874383
metropolitana ica,6.000000,0.000997,0.006887,5.912604
ica región,9.000000,0.001495,0.009725,4.931774
ica lima,9.000000,0.001495,0.009725,4.321515
ica callao,8.000000,0.001329,0.008801,4.909302
ica centro,3.000000,0.000498,0.003789,4.621620
acción comisión,4.000000,0.000664,0.004861,5.416167
acción popular,9.000000,0.001495,0.009725,6.797642
popular comisión,4.000000,0.000664,0.004861,5.249113
popular Ética,4.000000,0.000664,0.004861,6.082022
ceremonia juegos,3.000000,0.000498,0.003789,6.162065
ceremonia paralímpicos,3.000000,0.000498,0.003789,6.567530
ceremonia clausura,6.000000,0.000997,0.006887,7.771502
clausura juegos,3.000000,0.000498,0.003789,6.162065
clausura paralímpicos,3.000000,0.000498,0.003789,6.567530
ejecución internacional,3.000000,0.000498,0.003789,6.567530
ejecución aeropuerto,3.000000,0.000498,0.003789,7.260677
aeropuerto internacional,3.000000,0.000498,0.003789,6.385208
aeropuerto cusco,3.000000,0.000498,0.003789,6.672890
aeropuerto chinchero,3.000000,0.000498,0.003789,7.771502
chinchero cusco,3.000000,0.000498,0.003789,7.366037
ministro comisión,3.000000,0.000498,0.003789,4.435338
ministro inicio,3.000000,0.000498,0.003789,5.961394
ministro congreso,3.000000,0.000498,0.003789,4.479789
ministro maraví,4.000000,0.000664,0.004861,5.293565
inicio gobierno,3.000000,0.000498,0.003789,5.045103
inicio pueblo,3.000000,0.000498,0.003789,5.916942
pueblo mujer,8.000000,0.001329,0.008801,4.746009
pueblo reto,4.000000,0.000664,0.004861,5.868152
pueblo logro,4.000000,0.000664,0.004861,6.204624
ciro gobierno,3.000000,0.000498,0.003789,5.045103
ciro gálvez,5.000000,0.000830,0.005891,7.953824
gálvez gobierno,3.000000,0.000498,0.003789,5.045103
jornada grupo,3.000000,0.000498,0.003789,4.028556
jornada eliminatorias,6.000000,0.000997,0.006887,3.956235
jornada examen,4.000000,0.000664,0.004861,4.672913
jornada admisión,4.000000,0.000664,0.004861,4.709280
jornada qatar,4.000000,0.000664,0.004861,4.243917
director interior,4.000000,0.000664,0.004861,5.874383
director lima,3.000000,0.000498,0.003789,3.271693
director sur,3.000000,0.000498,0.003789,5.101193
director dini,4.000000,0.000664,0.004861,5.181235
director ministerio,4.000000,0.000664,0.004861,4.862782
director salud,3.000000,0.000498,0.003789,4.333937
director diris,3.000000,0.000498,0.003789,6.567530
signo domingo,3.000000,0.000498,0.003789,4.305767
signo septiembre,3.000000,0.000498,0.003789,4.918871
uruguay qatar,3.000000,0.000498,0.003789,4.415767
uruguay bolivia,6.000000,0.000997,0.006887,6.672890
bolivia uruguay,3.000000,0.000498,0.003789,5.979743
bolivia fecha,3.000000,0.000498,0.003789,4.552627
movistar deportes,8.000000,0.001329,0.008801,6.309985
movistar canal,6.000000,0.000997,0.006887,5.329155
movistar play,4.000000,0.000664,0.004861,6.715450
deportes canal,4.000000,0.000664,0.004861,5.861960
canal partido,5.000000,0.000830,0.005891,3.637937
canal movistar,4.000000,0.000664,0.004861,4.923690
paraguay movistar,3.000000,0.000498,0.003789,5.128485
paraguay colombia,9.000000,0.001495,0.009725,6.366859
paraguay fecha,3.000000,0.000498,0.003789,4.351956
colombia movistar,3.000000,0.000498,0.003789,4.530648
colombia fecha,3.000000,0.000498,0.003789,3.754119
ecuador partido,7.000000,0.001163,0.007856,3.606685
ecuador estadio,3.000000,0.000498,0.003789,4.107941
ecuador eliminatorias,6.000000,0.000997,0.006887,3.642578
ecuador hora,3.000000,0.000498,0.003789,3.969791
ecuador chile,14.000000,0.002325,0.014100,5.612018
ecuador quito,5.000000,0.000830,0.005891,5.516708
chile partido,5.000000,0.000830,0.005891,3.196104
chile estadio,3.000000,0.000498,0.003789,4.033833
chile eliminatorias,4.000000,0.000664,0.004861,3.163005
chile hora,3.000000,0.000498,0.003789,3.895683
chile ecuador,9.000000,0.001495,0.009725,5.170185
chile cáncer,4.000000,0.000664,0.004861,4.909302
chile rodrigo,4.000000,0.000664,0.004861,5.671442
chile quito,3.000000,0.000498,0.003789,4.931774
lunes setiembre,7.000000,0.001163,0.007856,5.360704
lunes lima,6.000000,0.000997,0.006887,4.475666
lunes viernes,6.000000,0.000997,0.006887,6.924205
coronavirus vacuna,4.000000,0.000664,0.004861,3.990158
coronavirus argentina,3.000000,0.000498,0.003789,2.244722
coronavirus año,3.000000,0.000498,0.003789,1.916908
coronavirus persona,4.000000,0.000664,0.004861,2.968507
peruano coronavirus,5.000000,0.000830,0.005891,4.801088
peruano fraude,3.000000,0.000498,0.003789,6.567530
alianza lima,8.000000,0.001329,0.008801,4.475666
alianza universitario,4.000000,0.000664,0.004861,6.385208
alianza democrática,3.000000,0.000498,0.003789,6.790673
alianza gobernabilidad,3.000000,0.000498,0.003789,6.790673
pandemia foto,3.000000,0.000498,0.003789,4.427464
pandemia mundo,3.000000,0.000498,0.003789,4.621620
pandemia fotos,3.000000,0.000498,0.003789,4.862782
fecha partido,9.000000,0.001495,0.009725,3.204073
fecha clasificatorias,6.000000,0.000997,0.006887,4.958092
